Case ID	KEAP1	TMTC1	OR4C16	ZNF676	STK11	TP53	KRAS	EGFR	CDKN2A	MAGEC1	NAV3	CDH10	MROH2B	OR5W2	OR5D14	RIT1	LRRTM4	NRG3	U2AF1	TBX22	BAGE2	OR4C15	ZNF492	FERD3L	OR2T34	CCDC178	SERPINB4	ZNF804A	PABPC3	EPHA6	ELTD1	OR2L3	REG1B	CD5L	CNBD1	REG3A	GABRB3	OR2T4	TRIM58	OR4A5	NRAS	BRAF	OR2L8	HGF	OR8H2	ADAMTS2	ZNF268	OR5I1	KCNT2	THEMIS	GBA3	ASTN2	
TCGA-05-4384-01	MUT;	  	  	  	  	MUT;	  	  	  	  	MUT;	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-05-4390-01	  	MUT;	  	  	  	  	MUT;	  	  	  	MUT;	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	MUT;	  	  	  	
TCGA-05-4425-01	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	
TCGA-38-4631-01	MUT;	  	  	MUT;	  	  	  	  	HOMDEL;	MUT;	MUT;	AMP;	  	  	MUT;	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	MUT;	MUT;	
TCGA-38-4632-01	  	  	  	  	  	MUT;	  	  	  	MUT;	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	MUT;	  	  	MUT;	  	  	  	  	MUT;	  	  	  	
TCGA-38-6178-01	  	  	  	  	  	MUT;	  	MUT;AMP;	MUT;HOMDEL;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-44-6144-01	  	  	  	MUT;	MUT;	MUT;	MUT;	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	AMP;	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	
TCGA-44-6145-01	  	  	  	  	  	MUT;	MUT;	  	  	  	  	MUT;	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	AMP;	  	AMP;	MUT;	  	  	  	  	  	MUT;	  	
TCGA-44-6146-01	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-44-6147-01	  	  	  	  	  	MUT;	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-44-6148-01	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-49-4488-01	MUT;	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	MUT;	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	
TCGA-50-5930-01	  	  	  	  	  	  	  	  	HOMDEL;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-50-5931-01	  	  	  	MUT;	  	MUT;	  	  	  	  	  	AMP;	AMP;	  	  	  	  	MUT;	  	  	MUT;	  	  	  	  	  	  	  	  	AMP;	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	
TCGA-50-5932-01	  	  	  	  	MUT;	  	MUT;	  	HOMDEL;	MUT;	  	  	  	  	  	AMP;	  	  	  	  	  	  	  	  	AMP;	  	  	  	  	  	  	AMP;	  	  	  	  	  	AMP;	AMP;	  	  	  	AMP;	  	  	  	  	  	  	  	  	  	
TCGA-50-5933-01	  	  	  	  	  	MUT;	MUT;	AMP;	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	MUT;AMP;	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	MUT;	  	  	  	  	
